STID;site;state;lat;lon;alt;Year;cultivar;YOR;N_fert;Y_max;soil;SQ;MAP;MAT;ACWB;trial;GP_P_mean;GP_P_sum;GP_T_max;GP_T_mean;GP_T_min;GS_P_mean;GS_P_sum;GS_T_max;GS_T_mean;GS_T_min;GS_TD;GS_TD_mean;SP_CWBm_J;SP_CWBneg_n_H;SP_CWBs_J;SP_ETPm_J;SP_ETPs_J;SP_P_mean;SP_P_sum;SP_T_max;SP_T_mean;SP_T_min;SP_TD;SP_TD_mean
855;Rauischholzhausen;H;50.76;8.87;230;1993;Topas;1989;214;84.1;ll;84;658.7;8.9;358.7;55;1.26;55.6;22;16.8;10;1.58;423;11.6;7.4;2.7;2131.9;9.6;-2.85;39;-125.58;3.99;175.68;1.13;50.1;21.3;15.3;8.7;673.6;15.3
856;Rauischholzhausen;H;50.76;8.87;230;1993;Astron;1989;209.9;83.1;ll;84;658.7;8.9;358.7;56;1.26;55.6;22;16.8;10;1.58;423;11.6;7.4;2.7;2131.9;9.6;-2.85;39;-125.58;3.99;175.68;1.13;50.1;21.3;15.3;8.7;673.6;15.3
857;Rauischholzhausen;H;50.76;8.87;230;1993;Kraka;1982;200;93.8;ll;84;658.7;8.9;358.7;57;1.26;55.6;22;16.8;10;1.58;423;11.6;7.4;2.7;2131.9;9.6;-2.85;39;-125.58;3.99;175.68;1.13;50.1;21.3;15.3;8.7;673.6;15.3
858;Rauischholzhausen;H;50.76;8.87;230;1993;Kanzler;1980;198.6;88.7;ll;84;658.7;8.9;358.7;58;1.26;55.6;22;16.8;10;1.58;423;11.6;7.4;2.7;2131.9;9.6;-2.85;39;-125.58;3.99;175.68;1.13;50.1;21.3;15.3;8.7;673.6;15.3
859;Rauischholzhausen;H;50.76;8.87;230;1993;Batis;1994;191;86.2;ll;84;658.7;8.9;358.7;59;1.26;55.6;22;16.8;10;1.58;423;11.6;7.4;2.7;2131.9;9.6;-2.85;39;-125.58;3.99;175.68;1.13;50.1;21.3;15.3;8.7;673.6;15.3
860;Rauischholzhausen;H;50.76;8.87;230;1993;Orestis;1988;213.6;89.9;ll;84;658.7;8.9;358.7;60;1.26;55.6;22;16.8;10;1.58;423;11.6;7.4;2.7;2131.9;9.6;-2.85;39;-125.58;3.99;175.68;1.13;50.1;21.3;15.3;8.7;673.6;15.3
861;Rauischholzhausen;H;50.76;8.87;230;1993;Ares;1983;194.1;83.3;ll;84;658.7;8.9;358.7;61;1.26;55.6;22;16.8;10;1.58;423;11.6;7.4;2.7;2131.9;9.6;-2.85;39;-125.58;3.99;175.68;1.13;50.1;21.3;15.3;8.7;673.6;15.3
862;Rauischholzhausen;H;50.76;8.87;230;1993;Greif;1989;185.8;76.7;ll;84;658.7;8.9;358.7;62;1.26;55.6;22;16.8;10;1.58;423;11.6;7.4;2.7;2131.9;9.6;-2.85;39;-125.58;3.99;175.68;1.13;50.1;21.3;15.3;8.7;673.6;15.3
863;Rauischholzhausen;H;50.76;8.87;230;1993;Apollo;1984;176.7;84.3;ll;84;658.7;8.9;358.7;63;1.26;55.6;22;16.8;10;1.58;423;11.6;7.4;2.7;2131.9;9.6;-2.85;39;-125.58;3.99;175.68;1.13;50.1;21.3;15.3;8.7;673.6;15.3
864;Rauischholzhausen;H;50.76;8.87;230;1993;Hai;1991;233.5;89.6;ll;84;658.7;8.9;358.7;64;1.26;55.6;22;16.8;10;1.58;423;11.6;7.4;2.7;2131.9;9.6;-2.85;39;-125.58;3.99;175.68;1.13;50.1;21.3;15.3;8.7;673.6;15.3
1210;Harste;NDS;51.6;9.87;140;1986;Kraka;1982;194.6;78.1;ll;85.5;720.9;9.1;417.5;10;1.7;73.3;22.8;18;12.1;2;582.2;9.7;6.5;2.3;2160.8;9.6;-0.61;25;-22.18;3.69;133.18;3.08;111;18.8;14.2;8.4;511.6;14.2
1211;Harste;NDS;51.6;9.87;140;1986;Gï¿½ï;1978;223;71.2;ll;85.5;720.9;9.1;417.5;11;1.7;73.3;22.8;18;12.1;2;582.2;9.7;6.5;2.3;2160.8;9.6;-0.61;25;-22.18;3.69;133.18;3.08;111;18.8;14.2;8.4;511.6;14.2
1212;Harste;NDS;51.6;9.87;140;1986;Kanzler;1980;203.8;75.2;ll;85.5;720.9;9.1;417.5;12;1.7;73.3;22.8;18;12.1;2;582.2;9.7;6.5;2.3;2160.8;9.6;-0.61;25;-22.18;3.69;133.18;3.08;111;18.8;14.2;8.4;511.6;14.2
1410;Schrobenhausen;BY;48.56;11.26;415;2005;Flair;1996;201.3;76.3;ls;48;797.9;8.5;498.6;10;2.81;126.6;24.7;19;12.8;2.02;539.7;11;6.7;2.1;2041.1;10.3;-0.97;27;-40.02;3.83;157.32;2.86;117.3;18.9;13.3;7.3;544.4;13.3
1411;Essenbach;BY;48.61;12.21;400;2001;Flair;1996;204.1;86.4;ll;75;741.9;8.7;431.4;11;2.53;139.2;21.1;16.1;10;2.08;563.9;11.5;7.4;3;2088.5;9;-3.05;23;-79.46;4.2;109.36;1.15;29.9;21;15.4;8.3;400.1;15.4
1414;Piering;BY;48.82;12.57;345;2004;Flair;1996;225;90.8;tu;76.5;769.8;8.5;468.7;14;2.5;125.1;22.2;16.6;10.7;1.69;450.3;10.8;6.4;1.8;1872.6;8.8;-1.75;33;-64.88;3.34;123.68;1.58;58.8;18.1;12.6;5.9;464.8;12.6
1415;Piering;BY;48.82;12.57;345;2005;Flair;1996;148.9;77.7;tu;76.5;769.8;8.5;468.7;15;3.05;140.4;23.9;18.2;12.4;1.98;546.7;10.8;6.5;2;2073.2;9.9;-1.46;30;-61.34;3.6;151.24;2.14;89.9;19.1;13.6;7.3;569.7;13.6
1416;Wolfsdorf;BY;50.1;11.02;285;2001;Flair;1996;225;71.7;sl;66;739.8;8.3;436.3;16;3.06;140.9;21.4;16.1;11.1;2.42;655.2;11.2;7.3;3.7;2058.3;8.8;-2.56;35;-107.63;3.93;165.13;1.36;57.5;19.3;14.1;9.1;592.4;14.1
1417;Wolfsdorf;BY;50.1;11.02;285;2002;Flair;1996;211.8;84.6;sl;66;739.8;8.3;436.3;17;2.44;109.9;22.9;17.8;12.7;2.54;679.7;11.2;7.1;3.2;2080.5;9.4;-0.84;31;-34.75;3.55;145.65;2.7;110.9;19;13.9;9;570.2;13.9
1418;Wolfsdorf;BY;50.1;11.02;285;2003;Flair;1996;225;50.5;sl;66;739.8;8.3;436.3;18;1.11;48.9;25.6;19.4;13.1;2.15;571.9;11.5;7;2.6;2046.8;9.7;-1.8;30;-68.64;3.81;144.84;2;76.2;19.7;14.1;8.6;534.8;14.1
1420;Wolfsdorf;BY;50.1;11.02;285;2005;Flair;1996;79.6;73;sl;66;739.8;8.3;436.3;20;2.54;106.8;23.9;17.9;11.8;1.97;519.1;10.7;6.5;2.4;1923.8;9.5;-1.58;25;-56.91;3.53;127.11;1.95;70.2;17.9;12.6;7.3;454.7;12.6
1421;Giebelstadt;BY;49.64;9.95;300;2001;Flair;1996;213.3;94.2;tu;68;649.4;9.1;316.6;21;2.2;99;21.5;16.1;10.7;1.93;499.2;12.1;7.7;3.7;2057.2;9;-3.87;30;-123.99;4.65;148.99;0.78;25;21.2;15.4;9;491.9;15.4
1422;Giebelstadt;BY;49.64;9.95;300;2002;Flair;1996;204.3;84.4;tu;68;649.4;9.1;316.6;22;3.25;140.1;23.7;18.3;12.8;2.52;666.9;12;7.7;3.4;2173.5;9.7;-0.79;30;-34.02;3.45;148.62;2.66;114.6;19;13.8;8.6;593;13.8
1423;Giebelstadt;BY;49.64;9.95;300;2003;Flair;1996;221.6;69;tu;68;649.4;9.1;316.6;23;1.08;44.6;26.5;20.1;13.9;1.66;425;12.3;7.5;3.1;2083.4;10;-1.15;20;-34.69;3.72;111.69;2.56;77;19.8;14.2;8.7;426.4;14.2
1424;Giebelstadt;BY;49.64;9.95;300;2004;Flair;1996;225;89.1;tu;68;649.4;9.1;316.6;24;2.5;115.2;22;16.2;10.4;1.54;373.3;11.9;7.3;2.9;1845.2;9.2;-1.43;32;-55.86;3.25;126.86;1.82;71;18.1;12.2;6;473.9;12.2
1425;Giebelstadt;BY;49.64;9.95;300;2005;Flair;1996;198;78.2;tu;68;649.4;9.1;316.6;25;1.5;61.5;25.1;18.4;11.8;1.64;431.4;11.7;7.2;2.7;2067.7;9.8;-2.21;30;-90.8;3.97;162.8;1.75;72;20;13.7;7.6;561;13.7
1426;Gersthofen;BY;48.42;10.84;475;2001;Flair;1996;225;94.1;sl;74;768.9;8.5;471.8;26;2.6;125.2;21.2;15.6;9.8;2.15;583.9;11.7;7.3;3;2063.5;8.6;-2.28;28;-84.71;4.03;149.21;1.74;64.5;20;14.6;8.2;540.7;14.6
1427;Gersthofen;BY;48.42;10.84;475;2002;Flair;1996;227.1;79.5;sl;74;768.9;8.5;471.8;27;3.34;150.6;23.7;18.1;12.3;2.2;596.5;11.6;7;2.2;2088.2;9.4;-0.94;32;-37.9;3.29;131.9;2.35;94;18.6;13.1;7.2;525.3;13.1
1428;Gersthofen;BY;48.42;10.84;475;2003;Flair;1996;201.5;61.9;sl;74;768.9;8.5;471.8;28;2.69;107.8;26.1;19.7;13.1;1.92;497.3;11.5;6.8;2.1;1989;9.7;-1.85;22;-59.49;3.68;117.89;1.82;58.4;20.2;14.6;8.6;466.2;14.6
1429;Gersthofen;BY;48.42;10.84;475;2004;Flair;1996;166.4;76.7;sl;74;768.9;8.5;471.8;29;1.79;88;22.3;16.8;11.3;1.79;487.5;11.1;6.6;2;1939.4;8.9;-1.35;34;-60.83;3.19;143.93;1.84;83.1;17.6;12.2;5.7;549.3;12.2
1430;Gersthofen;BY;48.42;10.84;475;2005;Flair;1996;242;72.9;sl;74;768.9;8.5;471.8;30;4.01;196.8;23.2;17.8;11.7;2.21;605.4;10.7;6.4;1.8;2050.1;10.2;-1.8;30;-70.52;3.71;144.82;1.9;74.3;18.7;13.2;6.9;513.2;13.2
1610;Gross Gerau;H;49.93;8.5;90;1962;Karat;1956;120;36.9;ls;57.5;637.4;10.6;235.5;10;1.4;74.2;23.2;17.7;12;1.39;379.9;12;7.8;3.5;2245.5;9.9;-2.92;30;-102.51;4;140.31;1.08;37.8;18.2;12.8;7;449.1;12.8
1611;Gross Gerau;H;49.93;8.5;90;1962;Wika;1960;120;46.3;ls;57.5;637.4;10.6;235.5;11;1.4;74.2;23.2;17.7;12;1.39;379.9;12;7.8;3.5;2245.5;9.9;-2.92;30;-102.51;4;140.31;1.08;37.8;18.2;12.8;7;449.1;12.8
1612;Giessen;H;50.6;8.65;160;1962;Carstens VIII;1952;89.5;39;ll;63;666.6;9.3;341.6;12;1.39;87.7;21.1;15.9;10.8;1.78;554.1;11.1;7.2;3.3;2411.1;9.5;-2.25;30;-81.03;3.63;130.83;1.38;49.8;18;12.9;7.1;465;12.9
1710;Giessen;H;50.6;8.65;160;1964;Rabe;1962;118.9;35.5;ll;63;666.6;9.3;341.6;10;0.77;37.4;23.7;17.5;11.1;1.16;318.7;10.8;6.6;2.5;2066.2;10.1;-2.13;21;-55.49;4.52;117.59;2.38;62.1;22.5;15.8;9.7;412;15.8
2010;Harste;NDS;51.6;9.87;140;1983;Opi;1978;149.7;65.4;ll;85.5;720.9;9.1;417.5;10;0.98;45.3;23.2;18.1;11.5;1.88;534.2;11.3;8.1;4;2376.6;9.2;-0.31;23;-10.1;2.98;95.5;2.66;85.4;16.8;12.8;7.8;409.3;12.8
2011;Barterode;NDS;51.55;9.77;250;1983;Monopol;1978;165;50.7;tu;31;759.8;8.4;488;11;0.73;34.5;24.1;18;12.1;1.92;548;11.7;7.7;4.1;2269.5;8.9;-0.58;45;-34.71;2.96;174.71;2.37;140;17.3;12;7.4;709.2;12
2013;Barterode;NDS;51.55;9.77;250;1983;Opi;1978;155.1;57.5;tu;31;759.8;8.4;488;13;0.73;34.5;24.1;18;12.1;1.92;548;11.7;7.7;4.1;2269.5;8.9;-0.58;45;-34.71;2.96;174.71;2.37;140;17.3;12;7.4;709.2;12
2014;Barterode;NDS;51.55;9.77;250;1983;Kanzler;1978;147.1;60.9;tu;31;759.8;8.4;488;14;0.73;34.5;24.1;18;12.1;1.92;548;11.7;7.7;4.1;2269.5;8.9;-0.58;45;-34.71;2.96;174.71;2.37;140;17.3;12;7.4;709.2;12
2015;Barterode;NDS;51.55;9.77;250;1983;Opi;1978;152.5;62.9;tu;31;759.8;8.4;488;15;0.73;34.5;24.1;18;12.1;1.92;548;11.7;7.7;4.1;2269.5;8.9;-0.58;45;-34.71;2.96;174.71;2.37;140;17.3;12;7.4;709.2;12
2016;Weende;NDS;51.55;9.91;145;1984;Kanzler;1978;100.5;61;tu;85.5;718.8;9;417.4;16;2.04;133.2;19.5;15.5;11;2;591.3;10.3;7.1;3.1;2178.3;8.6;1.05;22;40.2;2.71;103.2;3.77;143.4;16.2;12.3;8.1;469.3;12.3
2019;Reinshof;NDS;51.49;9.93;155;1984;Oberst;1980;154;59.3;tu;85.5;670.8;8.8;377.6;19;2.04;136.9;19.4;15.3;10.7;1.95;591.1;10.2;6.9;2.9;2190.1;8.6;1.86;22;69.16;2.67;98.94;4.54;168.1;16;12.2;7.9;452.4;12.2
2020;Reinshof;NDS;51.49;9.93;155;1984;Vuka;1975;142.3;62.4;tu;85.5;670.8;8.8;377.6;20;2.04;136.9;19.4;15.3;10.7;1.95;591.1;10.2;6.9;2.9;2190.1;8.6;1.86;22;69.16;2.67;98.94;4.54;168.1;16;12.2;7.9;452.4;12.2
2021;Gross Ellershausen;NDS;51.52;9.86;200;1984;Vuka;1975;113.9;45.4;tu;82.5;705.6;9;404.1;21;2.44;137.1;19.4;15.6;11;2.01;602.7;10.1;6.9;2.9;2148.8;8.4;0.88;30;40.73;2.68;123.67;3.57;164.4;15.9;12.2;8;562;12.2
2024;Barterode;NDS;51.55;9.77;250;1984;Oberst;1980;101.4;49.1;tu;31;759.8;8.4;488;24;2.59;140;19.4;14.9;11.3;2.11;635.1;10.2;6.2;3;1994.2;8.1;0.04;43;3;2.74;170.4;2.79;173.4;16.4;11.4;7.2;709.8;11.4
3210;Koefering;BY;48.94;12.2;340;2005;Tommi;2002;249.9;83.5;tu;76.5;704.1;8.8;380.2;10;2.56;148.5;23.6;18.2;11.5;1.82;509;11.3;7.1;2;2225.3;10.4;-2.14;16;-47.29;4.07;89.69;1.92;42.4;20.2;14.3;6.3;314;14.3
3211;Koefering;BY;48.94;12.2;340;2006;Tommi;2002;220;84.6;tu;76.5;704.1;8.8;380.2;11;2.31;106.6;25.7;19.7;12.3;1.81;490;10.2;6.2;1.5;1973.6;10.1;0.49;12;11.47;3.08;71.03;3.58;82.5;18;13.4;8.1;307.6;13.4
3212;Ohrenbach;BY;49.47;10.2;410;2004;Cubus;2002;159.6;99.7;ll;74;687;8.5;379.1;12;1.99;87.6;22.6;16.4;11.4;1.68;435.7;11.7;7;2.9;1920.2;9.2;-1.12;31;-47.21;3.47;146.11;2.35;98.9;18.6;12.6;6.8;530.1;12.6
3213;Ohrenbach;BY;49.47;10.2;410;2005;Cubus;2002;205.1;81.2;ll;74;687;8.5;379.1;13;2.07;101.5;24;17.6;11.6;1.93;542.2;11.4;6.9;2.8;2153.6;9.8;-3.57;15;-60.74;4.91;83.54;1.34;22.8;22.8;16.3;9.9;276.3;16.3
3214;Ohrenbach;BY;49.47;10.2;410;2006;Cubus;2002;191.6;80.8;ll;74;687;8.5;379.1;14;3.22;128.9;23.2;17;11;1.9;495;9.8;5.6;1.8;1689.8;9.3;3.76;3;30.15;2.66;21.35;6.43;51.5;16.9;12.5;8.5;99.9;12.5
3215;Giebelstadt;BY;49.64;9.95;300;2004;Cubus;2002;230;94.3;tu;68;649.4;9.1;316.6;15;2.5;115.2;22;16.2;10.4;1.54;373.3;11.9;7.3;2.9;1845.2;9.2;-1.43;32;-55.86;3.25;126.86;1.82;71;18.1;12.2;6;473.9;12.2
3216;Giebelstadt;BY;49.64;9.95;300;2005;Cubus;2002;226.1;77.3;tu;68;649.4;9.1;316.6;16;1.5;61.5;25.1;18.4;11.8;1.64;431.4;11.7;7.2;2.7;2067.7;9.8;-2.21;30;-90.8;3.97;162.8;1.75;72;20;13.7;7.6;561;13.7
3217;Giebelstadt;BY;49.64;9.95;300;2006;Cubus;2002;236.5;77.1;tu;68;649.4;9.1;316.6;17;2.45;88.3;26.4;19.5;12.8;1.76;451.4;10.6;6.2;2;1781.3;9.5;0.6;17;16.3;3.11;84;3.71;100.3;18;12.6;7.8;340.8;12.6
6614;Hohenschulen;SH;54.31;9.98;25;1984;Diplomat;1966;305.18;66.46;sl;66;825.7;8.7;581.1;14;2.4;170.8;19;15;11.4;2.24;708;10.7;7.2;3.8;2343.3;8.3;0.46;31;17.7;2.64;100.4;3.1;118.1;16.6;12;7.9;457.4;12
6618;Hohenschulen;SH;54.31;9.98;25;1988;Diplomat;1966;232.11;77.1;sl;66;825.7;8.7;581.1;18;2.97;154.6;20.7;16.2;12.3;2.53;709.1;11;7.7;4.6;2191.3;8.3;-0.49;28;-17.81;3.16;113.81;2.66;96;17.9;12.6;7.9;453;12.6
6620;Hohenschulen;SH;54.31;9.98;25;1990;Diplomat;1966;226.09;71.97;sl;66;825.7;8.7;581.1;20;3.4;201.1;19.1;15.2;11.5;2.34;680.6;12;8.6;5;2499;9.2;-1.9;25;-57;3.17;95.1;1.27;38.1;18;13;7.4;389.8;13
6621;Hohenschulen;SH;54.31;9.98;25;1991;Diplomat;1966;242.47;84.11;sl;66;825.7;8.7;581.1;21;3.25;162.9;21.4;17.2;12.9;2.36;679.9;10.4;7.3;3.9;2166.6;8.4;-0.26;35;-13.44;2.21;110.84;1.94;97.4;14;10.1;6;507.1;10.1
6623;Hohenschulen;SH;54.31;9.98;25;1993;Diplomat;1966;271.95;68.84;sl;66;825.7;8.7;581.1;23;3.06;184.1;19.3;15.1;10.7;2.28;674.5;10.8;7.4;4;2254;8.4;-2.21;24;-66.54;3.24;97.24;1.02;30.7;18.2;13.6;8.8;406.6;13.6
6624;Hohenschulen;SH;54.31;9.98;25;1994;Diplomat;1966;336.49;60.57;sl;66;825.7;8.7;581.1;24;1.49;71.8;23.3;18.4;12.7;2.33;684.8;10.5;7.3;4;2241.3;8.5;-0.41;26;-17.17;2.66;109.17;2.24;92;16.5;12.4;8.3;508.7;12.4
6625;Hohenschulen;SH;54.31;9.98;25;1995;Diplomat;1966;255.36;89.35;sl;66;825.7;8.7;581.1;25;1.03;45.6;22.2;17.4;12.4;2.51;721;11.1;7.8;4.4;2283.4;8.4;0.28;27;11.81;2.57;105.59;2.86;117.4;15.4;11.4;7;469.1;11.4
6627;Hohenschulen;SH;54.31;9.98;25;1997;Diplomat;1966;221.89;81.08;sl;66;825.7;8.7;581.1;27;4.21;206.3;21.2;16.8;12.4;2.42;726.3;10.6;7.1;3.5;2267.7;8.8;-0.72;26;-27.68;3.28;124.78;2.55;97.1;17.4;12.8;8;486.6;12.8
6629;Hohenschulen;SH;54.31;9.98;25;1999;Diplomat;1966;250.62;83.36;sl;66;825.7;8.7;581.1;29;1.81;105.3;21.4;16.8;11.6;2.5;744.5;11;7.7;4.2;2373.9;9.1;-0.59;35;-27.23;2.57;118.43;1.98;91.2;16.7;12;7.2;553.6;12
6630;Hohenschulen;SH;54.31;9.98;25;2000;Diplomat;1966;250.6;89.4;sl;66;825.7;8.7;581.1;30;1.92;123;18.8;14.6;10.4;2.38;731.5;11.6;8.3;5;2554.1;8.7;-1.72;32;-67.45;2.81;109.95;1.08;42.5;18;12.9;7.7;501.3;12.9
6634;Hohenschulen;SH;54.31;9.98;25;1984;Kanzler;1980;342.63;84.31;sl;66;825.7;8.7;581.1;34;2.4;170.8;19;15;11.4;2.24;708;10.7;7.2;3.8;2343.3;8.3;0.46;31;17.7;2.64;100.4;3.1;118.1;16.6;12;7.9;457.4;12
6637;Hohenschulen;SH;54.31;9.98;25;1987;Kanzler;1980;273.75;80.35;sl;66;825.7;8.7;581.1;37;3.28;183.9;19.1;15;11.4;2.63;818.3;9.7;6.5;3.3;2247.7;9;1.35;20;48.91;2.26;81.69;3.62;130.6;15.1;11.6;7.7;418.3;11.6
6638;Hohenschulen;SH;54.31;9.98;25;1988;Kanzler;1980;258.84;86.75;sl;66;825.7;8.7;581.1;38;2.97;154.6;20.7;16.2;12.3;2.53;709.1;11;7.7;4.6;2191.3;8.3;-0.49;28;-17.81;3.16;113.81;2.66;96;17.9;12.6;7.9;453;12.6
6640;Hohenschulen;SH;54.31;9.98;25;1990;Kanzler;1980;273.98;81.71;sl;66;825.7;8.7;581.1;40;3.4;201.1;19.1;15.2;11.5;2.34;680.6;12;8.6;5;2499;9.2;-1.9;25;-57;3.17;95.1;1.27;38.1;18;13;7.4;389.8;13
6641;Hohenschulen;SH;54.31;9.98;25;1991;Kanzler;1980;275.2;87.96;sl;66;825.7;8.7;581.1;41;3.25;162.9;21.4;17.2;12.9;2.36;679.9;10.4;7.3;3.9;2166.6;8.4;-0.26;35;-13.44;2.21;110.84;1.94;97.4;14;10.1;6;507.1;10.1
6643;Hohenschulen;SH;54.31;9.98;25;1993;Orestis;1988;261.32;77.03;sl;66;825.7;8.7;581.1;43;3.06;184.1;19.3;15.1;10.7;2.28;674.5;10.8;7.4;4;2254;8.4;-2.21;24;-66.54;3.24;97.24;1.02;30.7;18.2;13.6;8.8;406.6;13.6
6644;Hohenschulen;SH;54.31;9.98;25;1994;Orestis;1988;487.14;103;sl;66;825.7;8.7;581.1;44;1.49;71.8;23.3;18.4;12.7;2.33;684.8;10.5;7.3;4;2241.3;8.5;-0.41;26;-17.17;2.66;109.17;2.24;92;16.5;12.4;8.3;508.7;12.4
6645;Hohenschulen;SH;54.31;9.98;25;1995;Orestis;1988;280.07;106.03;sl;66;825.7;8.7;581.1;45;1.03;45.6;22.2;17.4;12.4;2.51;721;11.1;7.8;4.4;2283.4;8.4;0.28;27;11.81;2.57;105.59;2.86;117.4;15.4;11.4;7;469.1;11.4
6647;Hohenschulen;SH;54.31;9.98;25;1997;Ritmo;1993;256.32;94.37;sl;66;825.7;8.7;581.1;47;4.21;206.3;21.2;16.8;12.4;2.42;726.3;10.6;7.1;3.5;2267.7;8.8;-0.72;26;-27.68;3.28;124.78;2.55;97.1;17.4;12.8;8;486.6;12.8
6649;Hohenschulen;SH;54.31;9.98;25;1999;Ritmo;1993;307.71;112.23;sl;66;825.7;8.7;581.1;49;1.81;105.3;21.4;16.8;11.6;2.5;744.5;11;7.7;4.2;2373.9;9.1;-0.59;35;-27.23;2.57;118.43;1.98;91.2;16.7;12;7.2;553.6;12
6650;Hohenschulen;SH;54.31;9.98;25;2000;Ritmo;1993;309.23;117.08;sl;66;825.7;8.7;581.1;50;1.92;123;18.8;14.6;10.4;2.38;731.5;11.6;8.3;5;2554.1;8.7;-1.72;32;-67.45;2.81;109.95;1.08;42.5;18;12.9;7.7;501.3;12.9
6653;Hohenschulen;SH;54.31;9.98;25;2003;Ritmo;1993;224.78;104.97;sl;66;825.7;8.7;581.1;53;1.67;85.3;21.8;17.4;12.7;1.9;551.4;10;6.8;3.3;2100.6;8.8;0.47;28;20.61;2.43;104.69;2.91;125.3;16.5;12.2;7.3;523.9;12.2
6654;Hohenschulen;SH;54.31;9.98;25;2004;Ritmo;1993;290.05;102.7;sl;66;825.7;8.7;581.1;54;2.99;185.4;19.2;14.9;10.7;2.13;675;11.1;7.7;4.3;2473.5;8.7;-1.53;32;-55.3;2.21;79.8;0.68;24.5;15.8;11;6.6;395.9;11
6655;Hohenschulen;SH;54.31;9.98;25;2005;Tommi;2002;286.01;108.45;sl;66;825.7;8.7;581.1;55;2.61;156.6;21.5;16.7;11.7;2.04;583.4;11.4;7.9;4.2;2285.1;9;-0.3;24;-11.42;2.7;100.22;2.4;88.8;16.8;11.9;6.9;438.9;11.9
6657;Hohenschulen;SH;54.31;9.98;25;2007;Tommi;2002;279.7;87.9;sl;66;825.7;8.7;581.1;57;;;20.5;;11.4;;;;;;;;;;;;;;;17.1;;5.2;;
6658;Hohenschulen;SH;54.31;9.98;25;2008;Tommi;2002;362.42;120.98;sl;66;825.7;8.7;581.1;58;;;20.9;;9.7;;;11.6;;4.1;;;;;;;;;;18.5;;4.5;;
6659;Hohenschulen;SH;54.31;9.98;25;2009;Tommi;2002;344.77;120.22;sl;66;825.7;8.7;581.1;59;;;20.4;;10.5;;;11.3;;4.1;;;;;;;;;;17.6;;6.6;;
